RIDGE,NUB,CRACK,WEIGHT,DENSITY,binaryClass
0.4838209462861235,0.6110074349663317,0.3333295534805964,0.467002205103239,0.6161596758984389,N
0.7368926281871986,0.8214478868886659,0.5679757916631568,0.2265256737019961,0.6330545175147557,P
0.5196205010013314,0.4005937275272051,0.367080938526635,0.473988373092013,0.5761664862221912,N
0.2357592776988398,0.3758550805603267,0.6139641799555489,0.8213895014175665,0.4655685747214753,N
0.7153712757744934,0.1903077992856251,0.3331756594763068,0.2150004295655661,0.5503265462927392,N
0.5213031852407112,0.5001693817269804,0.5030130826103015,0.5017053752971162,0.5206055949428982,P
0.4638457837795505,0.5595569924937152,0.4092397960175472,0.4758197542884963,0.6328973561973947,P
0.2133093162976472,0.6564136242340678,0.7159051883338625,0.7116970703628398,0.935590053434848,P
0.556964008010651,0.4248450305778591,0.3454823200088124,0.479466765944042,0.4765567701603046,N
0.5233595506875063,0.5055569092886563,0.6417315181400532,0.5672842864915949,0.3812689903258478,P
0.6734250008391045,0.3213438805650812,0.4724254343050794,0.3800896360147771,0.3811729472985716,N
0.465027242926349,0.4419674430491088,0.6197360150848523,0.608491079355079,0.4642458003003528,N
0.7571542050323894,0.5197225705608616,0.5287765588652666,0.2651178441536127,0.3119914085146509,N
0.2863561607052953,0.6218359790560981,0.690940340964316,0.7265743577994789,0.6634215765026369,N
0.6699522269833633,0.3210496912497994,0.3475121009285478,0.2437469572439074,0.6131605140921316,P
0.0,0.8559066676968247,0.786657551821781,0.9188722472006644,0.9737060384870604,N
0.4427898546670993,0.302096767483463,0.5956475535713128,0.6055442595721527,0.3643916110781267,P
0.5359640191987112,0.5123529796325903,0.4992677885269589,0.5098800080185574,0.4905746865504837,P
0.6787952696881888,0.6437664552861958,0.5598453284260045,0.3366963544202297,0.5823481647050607,P
0.4607422159071839,0.7015820847621822,0.4167773623539627,0.4764125547696097,0.7383133098173438,N
0.4857385797876506,0.4809995304857393,0.3946717035904281,0.4986654829748848,0.4592341005133937,N
0.5577941620702387,0.5382059800664453,0.4696926007762737,0.5109009421804749,0.4219737715223693,P
0.4454996028238664,0.4194040140497685,0.5651311824891302,0.4999011999198145,0.6734362448922573,N
0.4209462861234491,0.5081362661135512,0.3470957771485223,0.5579455310862282,0.6153040198372508,N
0.6482876674013494,0.6094087091923761,0.5914033189266946,0.3396603568257969,0.5020780218628855,P
0.5749186068627561,0.4649082664225985,0.3514566472490232,0.417072367479023,0.409636608109524,N
0.1979391593291639,0.6865308839348861,0.6456550052809942,0.7296486153669923,0.7425392030174973,N
0.6006511450979515,0.3760333771150429,0.6241422434181965,0.3897362467424612,0.5640257744560473,P
0.3818216399458498,0.4774573722653766,0.6559124456511174,0.6875597812079385,0.5205619390214089,N
