focal_depth,latitude,longitude,binaryClass
0.0503048780487804,0.4143390486725664,0.8647071896877432,P
0.0777439024390243,0.2373478982300885,0.3015890654517168,N
0.0914634146341463,0.6140763274336283,0.7599177686409602,N
0.8734756097560976,0.8017146017699115,0.9085453939326592,P
0.0762195121951219,0.3653899336283185,0.9609956661851318,N
0.1905487804878048,0.3379424778761062,0.015307256361818,N
0.0091463414634146,0.745575221238938,0.8863762640293366,N
0.0365853658536585,0.0396847345132743,0.4288254250472275,N
0.1402439024390244,0.4926023230088495,0.8514279364373819,N
0.1371951219512195,0.0697594026548672,0.42621402378042,P
0.024390243902439,0.458725110619469,0.8660684520502278,P
0.0350609756097561,0.7247649336283186,0.5626180686742972,P
0.0320121951219512,0.6740182522123894,0.3845705078342038,P
0.0030487804878048,0.1444275442477876,0.7671685742860318,P
0.8033536585365854,0.6523783185840708,0.8875152794754972,P
0.0381097560975609,0.4199391592920354,0.7893654850538949,P
0.3048780487804878,0.302820796460177,0.314868318702078,P
0.0045731707317073,0.5109236725663717,0.2831147905322814,N
0.0426829268292682,0.360550331858407,0.9640515612845872,P
0.0503048780487804,0.4361172566371681,0.8876264029336594,P
0.0457317073170731,0.2589186946902655,0.716024002666963,P
0.0076219512195121,0.750345685840708,0.1876597399711079,P
0.2896341463414634,0.8324115044247787,0.9398822091343484,N
0.0564024390243902,0.8398783185840708,0.0575619513279253,N
0.0,0.805033185840708,0.7193577064118235,P
0.0655487804878048,0.5965846238938053,0.3440660073341482,N
0.1280487804878048,0.3117394911504424,0.9718579842204688,N
0.0137195121951219,0.6863246681415929,0.7891154572730303,N
0.7195121951219512,0.2399059734513274,0.0012501389043227,P
0.0015243902439024,0.692754424778761,0.5636737415268364,N
0.0548780487804878,0.0386476769911504,0.3446494054894988,P
0.0701219512195122,0.5593888274336283,0.6565173908212023,P
0.0213414634146341,0.7814574115044248,0.89207134126014,N
0.0182926829268292,0.1647538716814159,0.9833870430047784,P
0.0655487804878048,0.3173396017699115,0.9703022558062008,N
0.0411585365853658,0.333379424778761,0.966635181686854,P
0.0685975609756097,0.7645188053097345,0.91299033225914,P
0.0518292682926829,0.613108407079646,0.8372596955217246,N
0.0442073170731707,0.8521847345132744,0.1223747083009223,N
0.073170731707317,0.7118362831858407,0.8923213690410046,P
0.0091463414634146,0.8849557522123894,0.0910101122346928,P
0.0442073170731707,0.834070796460177,0.9685798422046894,P
0.3185975609756097,0.7114905973451328,0.6964940548949883,N
0.0609756097560975,0.5687914823008849,0.8380653405933993,N
0.0853658536585365,0.7589186946902655,0.905017224136015,P
0.010670731707317,0.7327157079646018,0.7090510056672964,N
0.0533536585365853,0.3052405973451327,0.1832981442382487,P
0.0,0.9669524336283186,0.6522946994110457,P
0.1478658536585365,0.2591952433628318,0.3063395932881431,N
0.1859756097560975,0.4585868362831858,0.2815868429825536,P
0.0442073170731707,0.417795907079646,0.9284087120791198,N
0.0,0.8606194690265487,0.1164573841537949,N
0.125,0.2809734513274335,0.0074174908323147,N
0.1295731707317073,0.3890348451327433,0.9485498388709857,P
0.0838414634146341,0.4945381637168141,0.8517335259473275,P
0.0,0.9491841814159292,0.6497388598733193,N
0.0701219512195122,0.6924778761061947,0.8921269029892209,N
0.0975609756097561,0.4224280973451327,0.9214634959439938,N
0.1783536585365853,0.417450221238938,0.9042671407934216,P
0.0,0.8037887168141593,0.7169129903322591,N
0.0762195121951219,0.6718058628318584,0.8894877208578731,P
0.0015243902439024,0.4831996681415929,0.7674186020668963,N
0.3902439024390244,0.5910536504424779,0.9039337704189354,P
0.0,0.8051714601769911,0.719274363818202,N
0.0,0.8044109513274336,0.7188854317146349,P
0.1387195121951219,0.388412610619469,0.9483831536837426,N
0.0503048780487804,0.3826742256637168,0.8204244916101788,N
0.0884146341463414,0.5796460176991151,0.2220246694077119,P
0.0914634146341463,0.4102599557522123,0.860623402600289,N
0.1234756097560975,0.4204231194690265,0.9207411934659406,N
0.0076219512195121,0.676299778761062,0.7791143460384486,P
0.0640243902439024,0.388412610619469,0.9464940548949884,P
0.0,0.3085591814159292,0.1140126680742305,P
0.1341463414634146,0.4404037610619469,0.2850594510501167,N
0.0838414634146341,0.3530143805309734,0.018502055783976,N
0.0503048780487804,0.0948561946902654,0.9449105456161796,N
0.0518292682926829,0.6333655973451328,0.1956050672296922,P
0.073170731707317,0.3852323008849557,0.9618013112568062,P
0.0579268292682926,0.3503871681415929,0.9645516168463164,P
0.0304878048780487,0.2261476769911504,0.0059173241471274,N
0.0640243902439024,0.7599557522123894,0.9084620513390376,N
0.0304878048780487,0.7605779867256637,0.907545282809201,N
0.0503048780487804,0.4868639380530973,0.2613623735970664,P
0.0030487804878048,0.7665237831858407,0.9150461162351372,P
0.0,0.967228982300885,0.6513501500166685,P
0.0960365853658536,0.3841952433628318,0.95043893765974,P
0.1554878048780487,0.7100387168141593,0.6969107678630959,N
0.0762195121951219,0.8322732300884956,0.9463273697077452,N
0.0320121951219512,0.4080475663716814,0.9296588509834428,P
0.1631097560975609,0.555378871681416,0.9038226469607734,P
0.0518292682926829,0.4233268805309734,0.9262695855095012,P
0.0746951219512195,0.758158185840708,0.9096010667851984,P
0.0929878048780487,0.4220132743362831,0.9222691410156684,P
0.0304878048780487,0.6948285398230089,0.8934326036226247,N
0.0,0.4451050884955752,0.8882931436826313,P
0.0350609756097561,0.6645464601769911,0.72521946882987,N
0.0274390243902439,0.6716675884955752,0.8938215357261918,P
0.0503048780487804,0.4284430309734513,0.8895432825869541,P
0.0045731707317073,0.3070381637168141,0.8517890876764085,N
0.0182926829268292,0.3944966814159292,0.913712634737193,P
0.2301829268292683,0.4120575221238938,0.8589009889987776,P
0.0533536585365853,0.4296875,0.888487609734415,P
0.0640243902439024,0.2910674778761062,0.009195466162907,N
0.0457317073170731,0.8626935840707965,0.0762862540282253,N
