Cement,Blast_Furnace_Slag,Fly_Ash,Water,Superplasticizer,Coarse_Aggregate,Fine_Aggregate,Age,Strength
0.2116438356164383,0.0,0.5022488755622189,0.3498402555910542,0.232919254658385,0.5970930232558138,0.7824887104867033,28,0.2913915535069142
0.5091324200913241,0.0,0.0,0.4968051118210863,0.0,0.7616279069767442,0.474159558454591,7,0.1894854864831194
0.4949771689497717,0.5912632164718977,0.0,0.2707667731629393,0.4440993788819875,0.1485465116279072,0.7185148018063219,3,0.284913417216893
0.58675799086758,0.0528658875904285,0.704647676161919,0.2571884984025558,0.3385093167701863,0.4098837209302326,0.5193176116407427,3,0.2654790083468294
0.136986301369863,0.528658875904285,0.7396301849075463,0.4568690095846646,0.5900621118012421,0.1075581395348836,0.3687907676869042,28,0.3915535069141647
0.0753424657534246,0.0,0.8295852073963019,0.464856230031949,0.3105590062111801,0.4651162790697674,0.5293527345709987,28,0.1365391802666002
0.291552511415525,0.0,0.5907046476761619,0.5862619808306708,0.1894409937888198,0.660174418604651,0.4104365278474662,3,0.1374112370748723
0.3358447488584474,0.0,0.4937531234382808,0.2899361022364217,0.3975155279503105,0.5430232558139534,0.7400903161063723,100,0.6070761181014078
0.2922374429223744,0.0,0.5912043978010995,0.5886581469648562,0.1428571428571428,0.6639534883720932,0.4129453085800301,28,0.2759436900460945
0.6027397260273972,0.52031163049527,0.0,0.5527156549520766,0.217391304347826,0.0668604651162789,0.4089312594079277,28,0.792076740999128
0.4269406392694063,0.0,0.0,0.560702875399361,0.0,0.3261627906976745,0.7558956347215251,28,0.2895228603463312
0.5776255707762556,0.0528658875904285,0.4847576211894053,0.1853035143769967,0.4068322981366459,0.4825581395348837,0.6949322629202206,28,0.519496698642083
0.1506849315068493,0.1171396772398442,0.8185907046476762,0.0,0.1770186335403726,0.7491279069767445,0.4668840943301555,56,0.3802167684066277
0.1118721461187214,0.0,0.9245377311344328,0.3610223642172523,0.4968944099378881,0.7936046511627906,0.2107375815353738,28,0.138657032515261
0.4748858447488585,0.0,0.0,0.560702875399361,0.0,0.491279069767442,0.6422478675363774,360,0.4457456085710726
0.9589041095890408,0.0,0.0,0.1932907348242811,0.0,0.2761627906976747,0.7576517812343202,28,0.9051949669864208
0.5949771689497718,0.5258764607679466,0.0,0.3442492012779554,0.3602484472049689,0.417732558139535,0.4059207225288508,91,0.9588887504671734
0.1052511415525114,0.0,0.9100449775112444,0.476038338658147,0.4658385093167701,0.1101744186046511,0.7282990466633217,28,0.1644449981313068
0.1438356164383561,0.3575403450194769,0.6601699150424788,0.4257188498402555,0.2515527950310559,0.5953488372093023,0.3828399397892625,28,0.5488974710352561
0.11324200913242,0.0,0.5592203898050975,0.5,0.2453416149068323,0.5552325581395348,0.556698444555946,28,0.1227108508782858
0.228310502283105,0.0306065664997217,0.704647676161919,0.6725239616613419,0.0527950310559006,0.4098837209302326,0.5193176116407427,3,0.0936838171172293
0.2545662100456621,0.0,0.8705647176411794,0.2619808306709266,0.3633540372670806,0.7305232558139534,0.4553437029603613,14,0.3908060296499315
0.228310502283105,0.0306065664997217,0.704647676161919,0.6725239616613419,0.0527950310559006,0.4098837209302326,0.5193176116407427,56,0.2606204061293136
0.634703196347032,0.2643294379521425,0.0,0.8482428115015974,0.0,0.3808139534883721,0.0,28,0.4250654042606205
0.5949771689497718,0.5258764607679466,0.0,0.3442492012779554,0.3602484472049689,0.417732558139535,0.4059207225288508,56,0.9339728416593996
0.1166666666666666,0.4034501947690596,0.5647176411794104,0.4528753993610224,0.248447204968944,0.5840116279069769,0.2375815353738084,28,0.2893982808022923
0.4835616438356164,0.0,0.5627186406796602,0.3841853035143769,0.3136645962732918,0.3613372093023255,0.4739086803813346,28,0.4501058926124331
0.330593607305936,0.0,0.6251874062968515,0.1717252396166135,0.3726708074534161,0.8308139534883718,0.5190667335674861,3,0.263984053818363
0.3493150684931507,0.0,0.0,0.560702875399361,0.0,0.2581395348837207,0.8805820371299549,90,0.2433038495079108
0.1639269406392694,0.2598775737340011,0.7991004497751125,0.4033546325878596,0.3012422360248447,0.5994186046511629,0.3828399397892625,28,0.4420082222499066
0.3424657534246575,0.0,0.0,0.5047923322683707,0.0,0.9011627906976742,0.4766683391871551,28,0.2162700884514762
0.1095890410958904,0.659432387312187,0.0,0.4169329073482428,0.3726708074534161,0.7790697674418605,0.2032112393376819,28,0.4372741995764296
