home_best_attack,home_best_defense,home_avg_attack,home_avg_defense,home_std_attack,home_std_defense,gk_home_player_1,away_avg_attack,away_avg_defense,away_std_attack,away_std_defense,away_best_attack,away_best_defense,gk_away_player_1,bottleneck_metric,wasserstein_metric,landscape_metric,betti_metric,heat_metric,target_home_points
0.3641304347826084,0.5488721804511281,0.2952052648072709,0.4921501706484643,0.4311944710338355,0.5793324681214704,0.5882352941176472,0.3721958925750397,0.6208425720620845,0.3678518714282122,0.5925490575801597,0.4902506963788302,0.4666666666666663,0.53125,0.0241201655556884,0.0200574686165764,0.0195061973603264,0.0252087251047045,0.0943538817491231,0
0.9836956521739136,0.8345864661654137,0.9313694766530878,0.5761092150170648,0.6503572939508153,0.3805381952596876,0.8823529411764706,0.7080568720379143,0.5040650406504068,0.5900970489831092,0.4562019657121205,0.6657381615598883,0.5111111111111111,0.53125,0.5589896171430953,0.7241413223266169,0.4206142569216011,0.8608004902814922,0.8332097705223452,3
0.5652173913043481,0.4285714285714288,0.5969915387026017,0.569965870307167,0.5614673681137115,0.7708991718185527,0.7941176470588234,0.3432494835338442,0.6172949002217298,0.6975146916805555,0.7787495086330338,0.2367688022284126,0.3999999999999999,0.625,0.5977747301360341,0.7597410593154741,0.4646085532152637,0.8828404593633256,0.8375564014164795,0
0.875,0.7669172932330826,0.7922281416483865,0.6873720136518773,0.4004787786277486,0.6082894266932137,0.8235294117647056,0.2347551342812006,0.1359940872135996,0.7459517087504919,0.4652406704434138,0.1002785515320332,0.3999999999999999,0.5625,0.7255356340613552,0.8659677457901199,0.6101802063459975,0.9372089591343112,0.7808087179511205,3
0.3152173913043476,0.4661654135338344,0.3284236916327172,0.3986348122866898,0.276189997382378,0.5229739788488725,0.441176470588235,0.4736176935229061,0.7243163340724315,0.7046129928174611,0.6370125339456667,0.4484679665738165,0.6148148148148143,0.625,0.0309108960963273,0.0215567559710393,0.0144836459313466,0.0524377039657377,0.1825300568433048,3
0.4375,0.5563909774436087,0.3773111877154491,0.4457337883959047,0.383158986243167,0.5383886461805951,0.6176470588235294,0.2593996840442338,0.2727272727272729,0.5552719027756323,0.4632015450408993,0.3760445682451254,0.251851851851852,0.75,0.0626653054336852,0.0335444662319899,0.0379416277517819,0.0411221637824884,0.0861139553884365,3
0.3722826086956519,0.5714285714285716,0.3011595111250384,0.2573378839590443,0.4765005794346821,0.3108933556181386,0.5294117647058822,0.7687203791469188,0.5676274944567634,0.547599334481891,0.2856960761672558,0.7465181058495824,0.674074074074074,0.8125,0.5258388099801626,0.721575837130112,0.3860475335458018,0.8654042936303479,0.8815179490832239,0
0.2472826086956518,0.3082706766917291,0.2776559072391102,0.4143344709897607,0.7804365994521563,0.6510260317395731,0.6176470588235294,0.3789524851136221,0.4022172949002214,0.6747794413095489,0.6776053063575556,0.2869080779944286,0.2814814814814812,0.3125,0.6581710364754874,0.8212705057236203,0.533438622478548,0.904852219814316,0.7427249659852159,3
0.7744565217391308,0.8345864661654137,0.797555625195864,0.6668941979522183,0.7447355763880577,0.5193375716979491,0.7058823529411766,0.6271721958925749,0.7191426459719139,0.5510086500491331,0.6037925186782611,0.7660167130919224,0.6148148148148143,0.8125,0.5922678120274938,0.745028508388496,0.4567047248172198,0.8690418678378174,0.7844632757873159,3
0.722826086956522,0.8721804511278193,0.8649326230021943,0.602730375426622,0.6190403784032856,0.4888177143612151,0.8235294117647056,0.776619273301737,0.6489283074648933,0.5501905905179907,0.5237130713666289,0.6768802228412256,0.6518518518518519,0.78125,0.581982221050809,0.7359952034404647,0.4454046410292242,0.868741132229061,0.8504311339073339,3
